iter	Logloss
0	0.4585239472
1	0.4393032995
2	0.4350898352
3	0.4331524529
4	0.4301640572
5	0.4278764823
6	0.4271910707
7	0.4268035809
8	0.4248886999
9	0.4231350839
10	0.421861395
11	0.4195833948
12	0.4195765809
13	0.4177412913
14	0.4161276021
15	0.4150305191
16	0.4124954177
17	0.4096788583
18	0.4072953835
19	0.405319157
20	0.4042070385
21	0.4029387895
22	0.4019001503
23	0.3988993642
24	0.3971156734
25	0.3956345042
26	0.3952970004
27	0.3944738223
28	0.3937995835
29	0.3932300143
30	0.3910225098
31	0.3901664179
32	0.3892578148
33	0.3888210263
34	0.3877458309
35	0.3857944776
36	0.3845067872
37	0.3837494685
38	0.3818530546
39	0.3801824008
40	0.3793279834
41	0.3791783296
42	0.3786637285
43	0.3777670503
44	0.3775783944
45	0.377437082
46	0.3770084293
47	0.375575121
48	0.3747328717
49	0.3732238426
50	0.3712787604
51	0.3700035057
52	0.3672817792
53	0.3656798642
54	0.3632860068
55	0.3617991437
56	0.3608630293
57	0.3596873569
58	0.3590088142
59	0.3579318789
60	0.3575323422
61	0.3548522642
62	0.3520962617
63	0.3515728612
64	0.3512637441
65	0.3510399416
66	0.3494377397
67	0.3488698145
68	0.3487773595
69	0.3486739848
70	0.3480381454
71	0.3479724885
72	0.3468676601
73	0.3463193098
74	0.346210879
75	0.3456267806
76	0.3455962336
77	0.345239801
78	0.3445249781
79	0.3443261464
80	0.3427904372
81	0.3426483392
82	0.3421784936
83	0.3421378065
84	0.342120682
85	0.3420179304
86	0.3419747164
87	0.3418126463
88	0.341619364
89	0.3411135403
90	0.3410963558
91	0.3402283064
92	0.3385507837
93	0.3376468721
94	0.3355790283
95	0.3346537646
96	0.3346038498
97	0.3345834517
98	0.3338322747
99	0.3335436759
100	0.3334706659
101	0.3334668669
102	0.3334555047
103	0.3334450073
104	0.333427144
105	0.333359106
106	0.3331140765
107	0.3328961442
108	0.3322374057
109	0.3317963792
110	0.3317820085
111	0.3316362123
112	0.3309082275
113	0.3307851972
114	0.3307515439
115	0.3307217305
116	0.3306766501
117	0.3299716473
118	0.329353632
119	0.329046928
120	0.3290167087
121	0.3290019273
122	0.3284365558
123	0.3277101376
124	0.3276926505
125	0.3276835704
126	0.3269763126
127	0.326820115
128	0.3268085264
129	0.3267818993
130	0.3255883983
131	0.3251186749
132	0.3237665113
133	0.3236069812
134	0.3233484666
135	0.3231417179
136	0.3225268342
137	0.3220247991
138	0.3220008023
139	0.3214231445
140	0.3206952707
141	0.3199868449
142	0.3199596815
143	0.3199583159
144	0.3199313733
145	0.3199291145
146	0.3199282934
147	0.3199214665
148	0.319818625
149	0.3190517296
150	0.3183118079
151	0.3167688868
152	0.3156701998
153	0.3151402478
154	0.314483582
155	0.314432145
156	0.314427658
157	0.3144227998
158	0.3138820641
159	0.3138794231
160	0.3138754389
161	0.3137802856
162	0.3136917461
163	0.3136900407
164	0.313684894
165	0.3136774584
166	0.3110900428
167	0.3097545212
168	0.3088045585
169	0.3083441976
170	0.3073979086
171	0.3071029461
172	0.3062632444
173	0.3056010954
174	0.3055883091
175	0.3055731954
176	0.3055722137
177	0.3055438408
178	0.3055404435
179	0.3055386068
180	0.3029382609
181	0.3023065976
182	0.3020921424
183	0.3020887066
184	0.3020881597
185	0.3020766605
186	0.3000713434
187	0.2988913264
188	0.2986294462
189	0.2968984353
190	0.2961181531
191	0.2961059599
192	0.2961026277
193	0.2960920336
194	0.2960669464
195	0.2960597464
196	0.2960566517
197	0.2960531485
198	0.2960430678
199	0.2960414633
200	0.295981011
201	0.2959779452
202	0.295971794
203	0.2959707587
204	0.2959648131
205	0.2959556204
206	0.295953996
207	0.2959532888
208	0.2959531096
209	0.2959528412
210	0.2959410544
211	0.2959324869
212	0.2959242904
213	0.2958565148
214	0.2950875017
215	0.2950523275
216	0.2939978268
217	0.2939737379
218	0.2939185755
219	0.2939064543
220	0.2936405057
221	0.2936357032
222	0.2936323256
223	0.29361994
224	0.2934709839
225	0.2926627168
226	0.2918341543
227	0.2918117598
228	0.2918099163
229	0.2918081316
230	0.2917697487
231	0.2917665598
232	0.2917618233
233	0.2914969817
234	0.2914270454
235	0.2906772058
236	0.2901299002
237	0.2890250855
238	0.2882876706
239	0.2879320437
240	0.2879214894
241	0.2879171082
242	0.2879103878
243	0.2879090564
244	0.2879076527
245	0.2879073952
246	0.2878587131
247	0.2878581435
248	0.2878580498
249	0.2878579979
250	0.2878508131
251	0.2878488649
252	0.2878486916
253	0.2878181694
254	0.2875486759
255	0.2874707131
256	0.2874625193
257	0.2867396962
258	0.2863740082
259	0.2863562725
260	0.2863399655
261	0.2851344705
262	0.2840800165
263	0.2840764943
264	0.2840753017
265	0.2835725315
266	0.2829476497
267	0.2815198286
268	0.2804063974
269	0.2777090697
270	0.2770005547
271	0.2768501072
272	0.2760803354
273	0.2750396532
274	0.2750333937
275	0.2750315163
276	0.2750311586
277	0.274962366
278	0.274933859
279	0.274932919
280	0.2749324861
281	0.2749323899
282	0.2746659079
283	0.2738558611
284	0.2737482179
285	0.2727104704
286	0.2724203879
287	0.27241726
288	0.2724164516
289	0.2723644882
290	0.2723490378
291	0.272059237
292	0.2716304966
293	0.2703818564
294	0.2697164973
295	0.2696994949
296	0.2696962093
297	0.2696944
298	0.2692124868
299	0.26818429
300	0.2680695744
301	0.2676234953
302	0.267575659
303	0.2675538733
304	0.2675510573
305	0.2675488914
306	0.2675015351
307	0.267484682
308	0.2674838847
309	0.2674633062
310	0.2674631528
311	0.2674618159
312	0.2674581723
313	0.2674529443
314	0.2674359479
315	0.2674352518
316	0.2674250299
317	0.2674244151
318	0.2671877722
319	0.2670544837
320	0.2664956078
321	0.2658183407
322	0.2655239609
323	0.2655165837
324	0.2655157868
325	0.2654918588
326	0.2654785529
327	0.2654783044
328	0.2654782411
329	0.2654777353
330	0.2652581589
331	0.2652523736
332	0.2652494955
333	0.26524871
334	0.2652485757
335	0.2652477886
336	0.2650556232
337	0.2635663488
338	0.2620514958
339	0.2620211449
340	0.2620085454
341	0.261998442
342	0.2619927626
343	0.2619925579
344	0.2619923099
345	0.2603255798
346	0.2601598357
347	0.2599785573
348	0.2598431645
349	0.2598428887
350	0.2595650339
351	0.2580858224
352	0.2576173434
353	0.2568676951
354	0.255930005
355	0.2550219389
356	0.2550160529
357	0.2550155438
358	0.2550021173
359	0.2550012732
360	0.2549838088
361	0.2549683723
362	0.2548509754
363	0.254849847
364	0.2548388491
365	0.2548375791
366	0.2544978248
367	0.2540964593
368	0.2540439823
369	0.2531216907
