0	1099369	2979
1	1247463	6779
2	1057756	8646
3	1033178	11291
4	1062062	14548
5	1162485	19161
6	1081625	20857
7	1001712	22137
8	1011822	25225
9	1028153	28559
10	1075812	32963
11	1125946	37741
12	1052601	38330
13	1094872	43056
14	1142424	48271
15	1179073	53291
16	1208908	58219
17	1215164	62139
18	1213734	65700
19	1224763	69986
20	1236074	74376
21	1251587	79123
22	1266342	83936
23	1273056	88304
24	1273512	92283
25	1282845	96959
26	1291944	101698
27	1300416	106466
28	1304793	110964
29	1312024	115766
30	1317507	120480
31	1323412	125293
32	1320626	129319
33	1324226	133999
34	1328632	138812
35	1328333	143173
36	1331830	147981
37	1333298	152606
38	1332086	156952
39	1329706	161176
40	1330003	165745
41	1330327	170346
42	1330592	174970
43	1331788	179750
44	1327192	183765
45	1320246	187442
46	1318112	191799
47	1315661	196123
48	1314373	200636
49	1313187	205185
50	1311576	209687
51	1305615	213496
52	1305075	218198
53	1304251	222878
54	1302395	227402
55	1301752	232159
56	1300722	236872
57	1298668	241419
58	1295381	245747
59	1291208	249911
60	1283367	253350
61	1280975	257858
62	1279083	262482
63	1275829	266840
64	1271341	270941
65	1264971	274631
66	1260943	278822
67	1256297	282874
68	1252224	287054
69	1249832	291627
70	1246173	295914
71	1240306	299671
72	1237858	304254
73	1233602	308400
74	1231667	313135
75	1229831	317915
76	1222504	321272
77	1222311	326507
78	1220762	331409
79	1215826	335400
80	1211626	339590
81	1208519	344092
82	1208762	349572
83	1204062	353640
84	1199190	357653
85	1196099	362199
86	1192034	366455
87	1188250	370801
88	1185402	375447
89	1182376	380049
90	1176316	383673
91	1173970	388508
92	1171008	393154
93	1167913	397767
94	1166653	403025
95	1164132	407871
96	1161096	412550
97	1155558	416340
98	1153372	421342
99	1149120	425600
100	1144186	429601
101	1140497	434069
102	1135871	438182
103	1130970	442184
104	1124236	445452
105	1120639	449953
106	1116943	454422
107	1112884	458746
108	1110335	463703
109	1105300	467627
110	1100207	471517
111	1096390	475952
112	1094938	481432
113	1091719	486156
114	1088128	490724
115	1081746	494025
116	1078012	498527
117	1074432	503107
118	1068983	506808
119	1065438	511410
120	1060732	515456
121	1056354	519658
122	1054612	525171
123	1051551	530050
124	1046480	533918
125	1041234	537686
126	1037178	542064
127	1033859	546834
128	1027897	550202
129	1023084	554170
130	1021001	559628
131	1018245	564741
132	1014662	569409
133	1010828	573944
134	1006577	578246
135	1003626	583304
136	999036	587416
137	995874	592373
138	991578	596664
139	988011	601398
140	985406	606735
141	981815	611481
142	977343	615683
143	972699	619773
144	967977	623807
145	963896	628254
146	960518	633167
147	954987	636658
148	950933	641127
149	948403	646638
150	945114	651654
151	941317	656331
152	938257	661536
153	934756	666446
154	931626	671637
155	927844	676372
156	923598	680774
157	918276	684375
158	915068	689554
159	909024	692590
160	903202	695768
161	898356	699681
162	893789	703805
163	889826	708405
164	885208	712485
165	880544	716521
166	877426	721823
167	873894	726803
168	870713	732092
169	866282	736340
170	862964	741542
171	859317	746477
172	856275	751957
173	852667	756959
174	847730	760783
175	843271	765029
176	839287	769709
177	834708	773844
178	829315	777211
179	824635	781234
180	820965	786215
181	817163	791083
182	813304	795907
183	808458	799765
184	803899	803899
185	798596	807277
186	794781	812154
187	790467	816526
188	786222	820972
189	782219	825676
190	777768	829909
191	773055	833857
192	768173	837612
193	763536	841625
194	759586	846396
195	754607	850017
196	749155	853084
197	744996	857611
198	740044	861221
199	735307	865067
200	731055	869480
201	726330	873326
202	721513	877049
203	716255	880217
204	711733	884274
205	707100	888186
206	702632	892299
207	698141	896379
208	693842	900702
209	689442	904893
210	684214	907983
211	680026	912440
212	675188	916019
213	671277	920855
214	667800	926304
215	664000	931325
216	660426	936682
217	656285	941251
218	652140	945819
219	647650	949887
220	644064	955289
221	639564	959347
222	635281	963726
223	630809	967817
224	626591	972296
225	622958	977698
226	619029	982655
227	614505	986670
228	609866	990492
229	605134	994148
230	600852	998539
231	596583	1002952
232	592424	1007554
233	588113	1011900
234	583763	1016180
235	579691	1020949
236	575539	1025585
237	571548	1030518
238	567190	1034798
239	563068	1039511
240	558531	1043457
241	554080	1047558
242	549052	1050548
243	544528	1054483
